lake_id,center_utm_x,center_utm_y
"70015900",462411.83585933,4953643.90330481
"27045900",459901.1452945,4986982.33307012
"16080900",648989.95342183,5321993.08569867
"16052600",663991.57811336,5324642.34377103
"69091500",503698.6066251,5268630.64189421
"56037900",284072.50038891,5131720.08256717
"13002700",513945.7234124,5025125.35885117
"34024800",332756.43189247,5019202.50354869
"27069100",463674.80031631,4981730.51864386
"63001200",296291.69945449,5307991.61825258
"68010700",277067.2854536,5386501.05794217
"03084200",269585.47823695,5214721.31701741
"16033100",683065.91171872,5332366.59655011
"11041200",382383.89771279,5199467.88648258
"38077900",595264.09310414,5305925.38922521
"31081200",428767.38171008,5245332.43546139
"69006900",583459.06727004,5307496.34368582
"38048800",622454.81313764,5315471.89619633
"27091400",451248.48371831,4975923.64766355
"56109700",325912.89309723,5125833.88870321
"66008000",458399.54027947,4923562.82443183
"38081700",589487.38503017,5339597.33866834
"19029400",491060.73593194,4959720.67654388
"44009700",293577.50493533,5241092.67068777
"38073800",599268.11239653,5307209.95594586
"38040400",634283.81683901,5328911.31929518
"31053800",456544.0869781,5259552.41502183
"56016000",297154.89364924,5114289.48335695
"04050900",319592.34500266,5361738.59122482
"18033900",404827.48210543,5147050.52367966
"38064400",611558.85311581,5316643.12611838
"02021000",471726.8017365,5026302.56897565
"02025300",468498.77780601,5027440.55870001
"56059400",271972.56543493,5117640.40196108
"71017100",456394.04512909,5021872.93461714
"66001000",473068.33594949,4904097.25014647
"21044202",308033.24734178,5090805.74996771
"77009800",361159.00804319,5073846.63892816
"38021900",639811.1842781,5288326.4115365
"31057600",450664.54041688,5240811.8296977
"31021600",469373.95527951,5234114.71312086
"66003900",468414.19615314,4913358.70148224
"24008002",456738.88365968,4836047.60124295
"27073100",466425.88380568,4980489.40974291
"31072500",446705.03762922,5275116.02441939
"27024600",464386.7742443,5000400.65574516
"38069300",607869.84461808,5290268.34326877
"31026900",474903.05716218,5270721.51557489
"31031300",468294.59917989,5294343.05410114
"27003502",473496.58401909,4982084.92087516
"04054300",348721.42462156,5263403.59660234
"32001802",336687.91154219,4857621.71897691
"56038300",288054.26145974,5150610.11806288
"17005602",309935.44241741,4879819.73459322
"56164000",293693.2520754,5163148.65693385
"61001000",324812.3207346,5036345.03375973
"51005600",276448.43083136,4859779.27450696
"16033900",676973.73699654,5327777.76186355
"27013309",445396.36748674,4973504.24556024
"86013901",423839.65777429,5018279.9426429
"17004802",309245.18260075,4870285.93360321
"86005302",432923.4799969,5005343.55969587
"85001305",603229.0879946,4885032.0176933
"02062400",475175.31701712,5006334.33344795
"29010103",357185.53553552,5210911.40709693
"43008403",389822.79088314,4962900.23800577
"34015002",350678.68580758,5018044.6816646
"43008501",389240.59180252,4971578.39266556
"27013306",449715.93813918,4975524.09379649
"43008404",389243.314535,4963170.87689486
"11014201",412607.41468008,5209465.9856026
"11046502",377110.16863107,5213098.65380839
"56030201",289908.82230381,5131671.87339124
"81001402",461954.30697742,4881193.41048051
"27004202",473203.21581586,4987915.20732061
"28000101",640521.96679935,4819236.96772224
"85000299",616353.21690142,4876202.30386439
"17005601",309625.95784703,4880710.65651153
"85000204",612943.84708191,4875873.70214294
"47013402",378836.0847305,4995977.00683459
"01007101",472043.02098877,5166659.98160443
"26037701",274623.68765327,5074652.93695174
"62007502",489449.14733462,4989428.76745695
"81009502",442646.80270258,4887390.77969315
"10004401",445172.11527929,4968496.61389185
"62002602",494366.83421751,4992846.27277748
"56074701",272481.32412754,5162882.7795813
"04003501",368553.69335542,5332397.70269
"56038603",288615.87384735,5160816.75787831
"11014203",409939.60521326,5207967.70104814
"21019901",300955.64977768,5082144.83721806
"47004901",387486.12326395,4981844.56902722
"29010102",359505.18278152,5209997.3410862
"79000501",584177.39921678,4909134.05446642
"11047702",376215.88479345,5204998.68446886
"25001705",526922.72706574,4944522.98034358
"25001701",528597.63783773,4943053.19714601
"85001306",598630.06917922,4886198.3224429
"34002201",357974.20924691,4992861.56021661
"17004801",309734.8647653,4868984.2285097
"26014202",268958.98060155,5098074.37865064
"28000106",643057.28304946,4819274.50570736
"70012002",458133.95068504,4952959.03548556
"56011601",311476.6047303,5141767.31801133
"69037803",550810.86485119,5295531.82972431
"03113400",293941.77427121,5208686.03807753
"27013308",448810.95746773,4975345.01361209
"53002401",287834.53580546,4826402.85317174
"85001303",601615.54102309,4883602.71944466
"29016001",348642.932092,5190638.8785283
"27013313",450847.60802149,4978768.1502721
"28000107",642672.520945,4819849.94324812
"56143500",290474.60701333,5127549.57446678
"27013312",451423.30352362,4979767.19343237
"02007501",480807.4044257,4991423.47979296
"32001801",336434.5830332,4857945.83640618
"18038701",399176.94793699,5135973.31326031
