lake_id,lattitude,longitude
25001702,44.603033,-92.620209
25001703,44.603033,-92.620209
25001704,44.603033,-92.620209
25001705,44.603033,-92.620209
25001706,44.603033,-92.620209
25001707,44.603033,-92.620209
26000200,46.061547,-95.829707
26002000,45.900823,-95.807731
26004000,45.859356,-95.794684
26005100,45.992347,-95.859166
26005500,45.990811,-95.865661
26009500,45.911995,-95.88403
26009700,46.035435,-95.895156
26018500,45.764224,-96.025399
26020400,45.797471,-96.109762
26021800,45.760613,-96.071358
26023500,45.874357,-96.116771
26028200,46.071838,-96.098872
26029000,46.007294,-96.056694
26029400,46.050176,-96.139346
27000100,44.875726,-93.190529
27000300,44.971397,-93.23687
27000400,44.847326,-93.307378
27001600,44.928162,-93.306955
27001900,44.910442,-93.244932
27003100,44.947763,-93.306675
27003300,45.043259,-93.282073
27003400,45.022777,-93.326432
27003700,44.982221,-93.321355
27004200,45.035948,-93.339935
27004201,45.035948,-93.339935
27004202,45.035948,-93.339935
27004203,45.035948,-93.339935
27004700,44.831287,-93.381561
27004800,44.824085,-93.371048
27006700,44.881948,-93.431526
27007000,44.854275,-93.495942
27007100,44.869202,-93.49025
27007600,44.843809,-93.470646
27007800,44.841075,-93.457461
27010400,45.017518,-93.426525
27010700,44.996805,-93.470646
27011100,45.07939,-93.405851
27011101,45.07939,-93.405851
27011102,45.07939,-93.405851
27011700,45.11073,-93.509634
27011800,45.08376,-93.463986
27012500,45.199432,-93.496031
27012700,45.177951,-93.501097
27013300,44.95036,-93.617618
27013301,44.95036,-93.617618
27013302,44.95036,-93.617618
27013303,44.95036,-93.617618
27013304,44.95036,-93.617618
27013305,44.95036,-93.617618
27013306,44.95036,-93.617618
27013307,44.95036,-93.617618
27013308,44.95036,-93.617618
27013309,44.95036,-93.617618
27013310,44.95036,-93.617618
27013311,44.95036,-93.617618
27013312,44.95036,-93.617618
27013313,44.95036,-93.617618
27013314,44.95036,-93.617618
27013315,44.95036,-93.617618
27013700,44.901175,-93.548782
27014900,45.038407,-93.621196
27015800,45.014347,-93.533081
27016000,44.987494,-93.569274
27017600,45.025893,-93.635795
27017900,44.952686,-93.706394
27017901,44.952686,-93.706394
27017902,44.952686,-93.706394
27018100,44.943204,-93.671373
27018400,44.934127,-93.731661
27018401,44.934127,-93.731661
27018402,44.934127,-93.731661
27019100,45.06571,-93.691433
27019101,45.06571,-93.691433
27019102,45.06571,-93.691433
27019200,45.069893,-93.750741
27019900,45.09389,-93.675283
27104500,44.851261,-93.362326
27104501,44.851261,-93.362326
28000100,43.68684,-91.272671
28000101,43.68684,-91.272671
28000102,43.68684,-91.272671
28000103,43.68684,-91.272671
28000104,43.68684,-91.272671
28000105,43.68684,-91.272671
28000106,43.68684,-91.272671
28000107,43.68684,-91.272671
28000108,43.68684,-91.272671
29000200,46.871147,-94.741443
29000300,46.868862,-94.744305
29003200,47.033733,-94.703792
29003600,47.010384,-94.73156
29003601,47.010384,-94.73156
29003602,47.010384,-94.73156
29004500,46.985043,-94.754608
29004800,47.137856,-94.674229
29006100,47.217308,-94.748054
29006300,47.296959,-94.750433
29006600,47.384353,-94.728323
29007100,47.410837,-94.760084
29007200,46.969916,-94.775975
29007500,47.176053,-94.791036
29007700,46.873791,-94.85071
